,CodigoParlamentar,CodigoPublicoNaLegAtual,NomeParlamentar,NomeCompletoParlamentar,SexoParlamentar,FormaTratamento,UrlFotoParlamentar,UrlPaginaParlamentar,EmailParlamentar,Telefones,SiglaPartidoParlamentar,UfParlamentar,Bloco,MembroMesa,MembroLideranca,CodigoBloco,NomeBloco,NomeApelido,DataCriacao,UrlPaginaParticular
10,5988,854,Soraya Thronicke,Soraya Vieira Thronicke,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5988.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5988,sen.sorayathronicke@senado.leg.br,33031775,PODEMOS,MS,,NÃO,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
11,6331,886,Sergio Moro,Sergio Fernando Moro,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6331.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6331,sen.sergiomoro@senado.leg.br,33036202,UNIÃO,PR,,NÃO,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
12,5322,840,Romário,Romario de Souza Faria,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5322.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5322,sen.romario@senado.leg.br,33036519,PL,RJ,,NÃO,NÃO,338,Bloco Parlamentar Vanguarda,BLVANG,2023-02-06,http://romario.org/
13,5352,830,Rogério Carvalho,Rogério Carvalho Santos,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5352.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5352,sen.rogeriocarvalho@senado.leg.br,33032201,PT,SE,,Sim,NÃO,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
14,4694,887,Rogerio Marinho,Rogério Simonetti Marinho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4694.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4694,sen.rogeriomarinho@senado.leg.br,33031826,PL,RN,,NÃO,Sim,338,Bloco Parlamentar Vanguarda,BLVANG,2023-02-06,
15,5732,844,Rodrigo Pacheco,Rodrigo Otavio Soares Pacheco,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5732.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5732,sen.rodrigopacheco@senado.leg.br,33032794,PSD,MG,,Sim,NÃO,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
16,5905,874,Rodrigo Cunha,Rodrigo Santos Cunha,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5905.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5905,sen.rodrigocunha@senado.leg.br,33036083,PODEMOS,AL,,Sim,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
17,70,875,Renan Calheiros,José Renan Vasconcelos Calheiros,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/70,sen.renancalheiros@senado.leg.br,33032261,MDB,AL,,NÃO,Sim,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,https://www.renancalheiros.com.br/
18,5012,827,Randolfe Rodrigues,Randolph Frederich Rodrigues Alves,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012,sen.randolferodrigues@senado.leg.br,33036777,REDE,AP,,NÃO,Sim,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,https://www.facebook.com/randolferodrigues
19,5386,917,Professora Dorinha Seabra,Maria Auxiliadora Seabra Rezende,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5386.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5386,sen.professoradorinhaseabra@senado.leg.br,33035990,UNIÃO,TO,,NÃO,Sim,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
20,5502,801,Plínio Valério,Francisco Plínio Valério Tomaz,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502,sen.pliniovalerio@senado.leg.br,33032898,PSDB,AM,,NÃO,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
21,825,859,Paulo Paim,Paulo Renato Paim,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/825,sen.paulopaim@senado.leg.br,33035232,PT,RS,,NÃO,NÃO,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,http://www.senadorpaim.com.br/
22,5523,831,Otto Alencar,Otto Roberto MendonÃ§a de Alencar,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5523,sen.ottoalencar@senado.leg.br,33033172,PSD,BA,,NÃO,Sim,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
23,5924,857,Oriovisto GuimarÃ£es,Oriovisto Guimaraes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5924.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5924,sen.oriovistoguimaraes@senado.leg.br,33031635,PODEMOS,PR,,NÃO,Sim,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,http://www.oriovistoguimaraes.com.br/
24,5525,803,Omar Aziz,Omar José Abdel Aziz,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5525.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5525,sen.omaraziz@senado.leg.br,33036579,PSD,AM,,NÃO,Sim,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
25,5985,858,Nelsinho Trad,Nelson Trad Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5985.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5985,sen.nelsinhotrad@senado.leg.br,33036767,PSD,MS,,NÃO,NÃO,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,https://www.nelsinhotrad.com.br/
26,6027,881,Mecias de Jesus,Antônio Mecias Pereira de Jesus,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6027.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6027,sen.meciasdejesus@senado.leg.br,33035291,REPUBLICANOS,RR,,Sim,Sim,346,Bloco Parlamentar AlianÃ§a,BLALIANÃ‡A,2023-03-20,
27,6362,925,Mauro Carvalho Junior,Mauro Carvalho Junior,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6362.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6362,sen.maurocarvalhojunior@senado.leg.br,33036219,UNIÃO,MT,,NÃO,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
28,6304,910,Margareth Buzetti,Margareth Gettert Busetti,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6304.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6304,sen.margarethbuzetti@senado.leg.br,33036408,PSD,MT,,NÃO,Sim,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
29,5942,862,Marcos do Val,Marcos Ribeiro do Val,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5942.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5942,sen.marcosdoval@senado.leg.br,33036747,PODEMOS,ES,,NÃO,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
30,5422,868,Marcos Rogério,Marcos Rogério da Silva Brito,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5422.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5422,sen.marcosrogerio@senado.leg.br,33036148,PL,RO,,NÃO,NÃO,338,Bloco Parlamentar Vanguarda,BLVANG,2023-02-06,
31,285,849,Marcio Bittar,Marcio Miguel Bittar,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador285.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/285,sen.marciobittar@senado.leg.br,33032115,UNIÃO,AC,,NÃO,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
32,742,813,Marcelo Castro,Marcelo Costa e Castro,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador742.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/742,sen.marcelocastro@senado.leg.br,33034078,MDB,PI,,NÃO,Sim,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
33,5376,847,Mara Gabrilli,Mara Cristina Gabrilli,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5376.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5376,sen.maragabrilli@senado.leg.br,33032191,PSD,SP,,Sim,NÃO,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
34,631,869,Magno Malta,Magno Pereira Malta,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador631.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/631,sen.magnomalta@senado.leg.br,33036370,PL,ES,,NÃO,Sim,338,Bloco Parlamentar Vanguarda,BLVANG,2023-02-06,
35,1186,860,Luis Carlos Heinze,Luis Carlos Heinze,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1186.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1186,sen.luiscarlosheinze@senado.leg.br,33034124,PP,RS,,NÃO,NÃO,346,Bloco Parlamentar AlianÃ§a,BLALIANÃ‡A,2023-03-20,
36,5926,905,Lucas Barreto,Luiz Cantuária Barreto,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5926.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5926,sen.lucasbarreto@senado.leg.br,33034851,PSD,AP,,NÃO,Sim,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
37,5979,853,Leila Barros,Leila Gomes de Barros Rêgo,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5979,sen.leilabarros@senado.leg.br,33036427,PDT,DF,,NÃO,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,https://www.leiladovolei.com.br/
38,4811,900,Laércio Oliveira,Laércio José de Oliveira,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4811.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4811,sen.laerciooliveira@senado.leg.br,33031763,PP,SE,,NÃO,NÃO,346,Bloco Parlamentar AlianÃ§a,BLALIANÃ‡A,2023-03-20,https://www.laerciooliveira.com.br/
39,6369,931,Jussara Lima,Antônia Jussara Gomes Alves Sousa Lima,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6369.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6369,sen.jussaralima@senado.leg.br,33035800,PSD,PI,,NÃO,Sim,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
40,6342,897,Jorge Seif,Jorge Seif JÃºnior,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6342.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6342,sen.jorgeseif@senado.leg.br,33033784,PL,SC,,NÃO,Sim,338,Bloco Parlamentar Vanguarda,BLVANG,2023-02-06,
41,5895,863,Jorge Kajuru,Jorge Kajuru Reis da Costa Nasser,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5895.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5895,sen.jorgekajuru@senado.leg.br,33032844,PSB,GO,,NÃO,Sim,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
42,4531,837,Jayme Campos,Jayme Veríssimo de Campos,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4531.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4531,sen.jaymecampos@senado.leg.br,33032390,UNIÃO,MT,,NÃO,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
43,581,833,Jaques Wagner,Jaques Wagner,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/581,sen.jaqueswagner@senado.leg.br,33036390,PT,BA,,NÃO,Sim,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,https://pt-br.facebook.com/jaqueswagneroficial/
44,6340,891,Jaime Bagattoli,Jaime Maximino Bagattoli,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6340.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6340,sen.jaimebagattoli@senado.leg.br,33032714,PL,RO,,NÃO,NÃO,338,Bloco Parlamentar Vanguarda,BLVANG,2023-02-06,
45,35,932,Jader Barbalho,Jader Fontenelle Barbalho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/35,sen.jaderbarbalho@senado.leg.br,33039831,MDB,PA,,NÃO,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,http://jaderbarbalho.com.br/
46,4770,851,Izalci Lucas,Izalci Lucas Ferreira,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4770.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4770,sen.izalcilucas@senado.leg.br,33036049,PSDB,DF,,NÃO,Sim,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
47,6010,914,Ivete da Silveira,Ivete Marli Appel da Silveira,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6010.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6010,sen.ivetedasilveira@senado.leg.br,33032200,MDB,SC,,Sim,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
48,5385,883,Irajá,Irajá Silvestre Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5385.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5385,sen.iraja@senado.leg.br,33036469,PSD,TO,,NÃO,NÃO,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
49,5008,824,Humberto Costa,Humberto Sérgio Costa Lima,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008,sen.humbertocosta@senado.leg.br,33036285,PT,PE,,NÃO,NÃO,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,http://www.senadorhumberto.com.br/
50,6341,894,Hamilton MourÃO,Antonio Hamilton Martins MourÃO,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6341.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6341,sen.hamiltonmourao@senado.leg.br,33031837,REPUBLICANOS,RS,,NÃO,Sim,346,Bloco Parlamentar AlianÃ§a,BLALIANÃ‡A,2023-03-20,
51,6008,935,Giordano,Alexandre Luiz Giordano,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6008,sen.giordano@senado.leg.br,33034177,MDB,SP,,NÃO,Sim,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
52,5894,841,Flávio Bolsonaro,Flávio Nantes Bolsonaro,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5894.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5894,sen.flaviobolsonaro@senado.leg.br,33031717,PL,RJ,,NÃO,NÃO,338,Bloco Parlamentar Vanguarda,BLVANG,2023-02-06,
53,345,856,Flávio Arns,Flávio José Arns,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador345.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/345,sen.flavioarns@senado.leg.br,33036301,PSB,PR,,NÃO,NÃO,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,http://www.flavioarns.com.br
54,6345,929,Fernando Farias,Fernando Lopes de Farias,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6345.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6345,sen.fernandofarias@senado.leg.br,33036266,MDB,AL,,NÃO,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
55,5917,923,Fernando Dueire,Fernando Antonio Caminha Dueire,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5917.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5917,sen.fernandodueire@senado.leg.br,33033522,MDB,PE,,NÃO,NÃO,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
56,5953,835,Fabiano Contarato,Fabiano Contarato,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5953.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5953,sen.fabianocontarato@senado.leg.br,33039054,PT,ES,,NÃO,Sim,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
57,22,882,EsperidiÃO Amin,EsperidiÃO Amin Helou Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/22,sen.esperidiaoamin@senado.leg.br,33036446,PP,SC,,NÃO,NÃO,346,Bloco Parlamentar AlianÃ§a,BLALIANÃ‡A,2023-03-20,
58,5718,806,Eliziane Gama,Eliziane Pereira Gama Melo,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5718,sen.elizianegama@senado.leg.br,33036741,PSD,MA,,NÃO,Sim,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
59,4642,878,Efraim Filho,Efraim de AraÃºjo Morais Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4642.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4642,sen.efraimfilho@senado.leg.br,33035934,UNIÃO,PB,,NÃO,Sim,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
60,3777,872,Eduardo Gomes,Carlos Eduardo Torres Gomes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3777,sen.eduardogomes@senado.leg.br,33036349,PL,TO,,NÃO,Sim,338,Bloco Parlamentar Vanguarda,BLVANG,2023-02-06,
61,5976,826,Eduardo GirÃO,Luis Eduardo Grangeiro GirÃO,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5976,sen.eduardogirao@senado.leg.br,33036677,NOVO,CE,,NÃO,Sim,338,Bloco Parlamentar Vanguarda,BLVANG,2023-02-06,
62,4994,802,Eduardo Braga,Carlos Eduardo de Souza Braga,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4994,sen.eduardobraga@senado.leg.br,33036230,MDB,AM,,NÃO,Sim,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
63,5793,893,Dr. Hiran,Hiran Manuel GonÃ§alves da Silva,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5793.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5793,sen.drhiran@senado.leg.br,33036251,PP,RR,,Sim,NÃO,346,Bloco Parlamentar AlianÃ§a,BLALIANÃ‡A,2023-03-20,
64,3830,834,Davi Alcolumbre,David Samuel Alcolumbre Tobelem,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3830,sen.davialcolumbre@senado.leg.br,33036717,UNIÃO,AP,,NÃO,Sim,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,
65,5998,820,Daniella Ribeiro,Daniella Velloso Borges Ribeiro,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5998,sen.daniellaribeiro@senado.leg.br,33036788,PSD,PB,,NÃO,Sim,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
66,6335,866,Damares Alves,Damares Regina Alves,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6335.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6335,sen.damaresalves@senado.leg.br,33033265,REPUBLICANOS,DF,,NÃO,NÃO,346,Bloco Parlamentar AlianÃ§a,BLALIANÃ‡A,2023-03-20,
67,475,867,ConfÃºcio Moura,ConfÃºcio Aires Moura,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/475,sen.confuciomoura@senado.leg.br,33032470,MDB,RO,,NÃO,Sim,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,https://senadorconfucio.com.br/
68,6337,873,Cleitinho,Cleiton Gontijo de Azevedo,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6337.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6337,sen.cleitinho@senado.leg.br,33033811,REPUBLICANOS,MG,,NÃO,NÃO,346,Bloco Parlamentar AlianÃ§a,BLALIANÃ‡A,2023-03-20,
69,739,811,Ciro Nogueira,Ciro Nogueira Lima Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/739,ciro.nogueira@senado.leg.br,33036187,PP,PI,,NÃO,Sim,346,Bloco Parlamentar AlianÃ§a,BLALIANÃ‡A,2023-03-20,http://senadorciro.com.br/
70,5973,825,Cid Gomes,Cid Ferreira Gomes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973,sen.cidgomes@senado.leg.br,33036460,PDT,CE,,NÃO,Sim,336,Bloco Parlamentar Democracia,BLDEM,2023-02-02,https://cidgomes.com.br/
71,470,815,Chico Rodrigues,Francisco de Assis Rodrigues,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/470,sen.chicorodrigues@senado.leg.br,33032281,PSB,RR,,Sim,NÃO,335,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,
