,CodigoParlamentar,CodigoPublicoNaLegAtual,NomeParlamentar,NomeCompletoParlamentar,SexoParlamentar,FormaTratamento,UrlFotoParlamentar,UrlPaginaParlamentar,EmailParlamentar,SiglaPartidoParlamentar,UfParlamentar,CodigoBloco,NomeBloco,NomeApelido,DataCriacao,MembroMesa,MembroLideranca
10,739,811,Ciro Nogueira,Ciro Nogueira Lima Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/739,sen.cironogueira@senado.leg.br,PP,PI,346,Bloco Parlamentar Aliança,BLALIANÇA,"('2023-03-20',)",Não,Sim
11,6337,873,Cleitinho,Cleiton Gontijo de Azevedo,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6337.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6337,sen.cleitinho@senado.leg.br,REPUBLICANOS,MG,346,Bloco Parlamentar Aliança,BLALIANÇA,"('2023-03-20',)",Não,Não
12,475,867,Confúcio Moura,Confúcio Aires Moura,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/475,sen.confuciomoura@senado.leg.br,MDB,RO,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Sim
13,6335,866,Damares Alves,Damares Regina Alves,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6335.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6335,sen.damaresalves@senado.leg.br,REPUBLICANOS,DF,346,Bloco Parlamentar Aliança,BLALIANÇA,"('2023-03-20',)",Não,Não
14,5998,820,Daniella Ribeiro,Daniella Velloso Borges Ribeiro,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5998,sen.daniellaribeiro@senado.leg.br,PSD,PB,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Sim
15,3830,834,Davi Alcolumbre,David Samuel Alcolumbre Tobelem,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3830,sen.davialcolumbre@senado.leg.br,UNIÃO,AP,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Sim
16,5793,893,Dr. Hiran,Hiran Manuel Gonçalves da Silva,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5793.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5793,sen.drhiran@senado.leg.br,PP,RR,346,Bloco Parlamentar Aliança,BLALIANÇA,"('2023-03-20',)",Sim,Não
17,4994,802,Eduardo Braga,Carlos Eduardo de Souza Braga,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4994,sen.eduardobraga@senado.leg.br,MDB,AM,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Sim
18,5976,826,Eduardo Girão,Luis Eduardo Grangeiro Girão,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5976,sen.eduardogirao@senado.leg.br,NOVO,CE,338,Bloco Parlamentar Vanguarda,BLVANG,"('2023-02-06',)",Não,Sim
19,3777,872,Eduardo Gomes,Carlos Eduardo Torres Gomes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3777,sen.eduardogomes@senado.leg.br,PL,TO,338,Bloco Parlamentar Vanguarda,BLVANG,"('2023-02-06',)",Não,Sim
20,4642,878,Efraim Filho,Efraim de Araújo Morais Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4642.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4642,sen.efraimfilho@senado.leg.br,UNIÃO,PB,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Sim
21,5718,806,Eliziane Gama,Eliziane Pereira Gama Melo,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5718,sen.elizianegama@senado.leg.br,PSD,MA,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Sim
22,22,882,Esperidião Amin,Esperidião Amin Helou Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/22,sen.esperidiaoamin@senado.leg.br,PP,SC,346,Bloco Parlamentar Aliança,BLALIANÇA,"('2023-03-20',)",Não,Não
23,5953,835,Fabiano Contarato,Fabiano Contarato,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5953.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5953,sen.fabianocontarato@senado.leg.br,PT,ES,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Sim
24,5917,923,Fernando Dueire,Fernando Antonio Caminha Dueire,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5917.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5917,sen.fernandodueire@senado.leg.br,MDB,PE,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Não
25,6345,929,Fernando Farias,Fernando Lopes de Farias,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6345.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6345,sen.fernandofarias@senado.leg.br,MDB,AL,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Não
26,345,856,Flávio Arns,Flávio José Arns,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador345.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/345,sen.flavioarns@senado.leg.br,PSB,PR,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Não
27,5894,841,Flávio Bolsonaro,Flávio Nantes Bolsonaro,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5894.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5894,sen.flaviobolsonaro@senado.leg.br,PL,RJ,338,Bloco Parlamentar Vanguarda,BLVANG,"('2023-02-06',)",Não,Não
28,4605,871,Flávio Dino,Flávio Dino de Castro e Costa,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4605.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4605,sen.flaviodino@senado.leg.br,PSB,MA,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Não
29,6008,935,Giordano,Alexandre Luiz Giordano,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6008,sen.giordano@senado.leg.br,MDB,SP,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Sim
30,6341,894,Hamilton Mourão,Antonio Hamilton Martins Mourão,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6341.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6341,sen.hamiltonmourao@senado.leg.br,REPUBLICANOS,RS,346,Bloco Parlamentar Aliança,BLALIANÇA,"('2023-03-20',)",Não,Sim
31,5008,824,Humberto Costa,Humberto Sérgio Costa Lima,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008,sen.humbertocosta@senado.leg.br,PT,PE,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Não
32,5385,883,Irajá,Irajá Silvestre Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5385.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5385,sen.iraja@senado.leg.br,PSD,TO,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Não
33,6010,914,Ivete da Silveira,Ivete Marli Appel da Silveira,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6010.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6010,sen.ivetedasilveira@senado.leg.br,MDB,SC,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Sim,Não
34,4770,851,Izalci Lucas,Izalci Lucas Ferreira,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4770.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4770,sen.izalcilucas@senado.leg.br,PSDB,DF,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Sim
35,35,932,Jader Barbalho,Jader Fontenelle Barbalho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/35,sen.jaderbarbalho@senado.leg.br,MDB,PA,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Não
36,6340,891,Jaime Bagattoli,Jaime Maximino Bagattoli,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6340.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6340,sen.jaimebagattoli@senado.leg.br,PL,RO,338,Bloco Parlamentar Vanguarda,BLVANG,"('2023-02-06',)",Não,Não
37,581,833,Jaques Wagner,Jaques Wagner,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/581,sen.jaqueswagner@senado.leg.br,PT,BA,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Sim
38,4531,837,Jayme Campos,Jayme Veríssimo de Campos,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4531.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4531,sen.jaymecampos@senado.leg.br,UNIÃO,MT,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Não
39,5895,863,Jorge Kajuru,Jorge Kajuru Reis da Costa Nasser,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5895.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5895,sen.jorgekajuru@senado.leg.br,PSB,GO,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Sim
40,6342,897,Jorge Seif,Jorge Seif Júnior,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6342.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6342,sen.jorgeseif@senado.leg.br,PL,SC,338,Bloco Parlamentar Vanguarda,BLVANG,"('2023-02-06',)",Não,Sim
41,6369,931,Jussara Lima,Antônia Jussara Gomes Alves Sousa Lima,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6369.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6369,sen.jussaralima@senado.leg.br,PSD,PI,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Sim
42,4811,900,Laércio Oliveira,Laércio José de Oliveira,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4811.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4811,sen.laerciooliveira@senado.leg.br,PP,SE,346,Bloco Parlamentar Aliança,BLALIANÇA,"('2023-03-20',)",Não,Não
43,5979,853,Leila Barros,Leila Gomes de Barros Rêgo,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5979,sen.leilabarros@senado.leg.br,PDT,DF,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Não
44,5926,905,Lucas Barreto,Luiz Cantuária Barreto,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5926.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5926,sen.lucasbarreto@senado.leg.br,PSD,AP,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Sim
45,1186,860,Luis Carlos Heinze,Luis Carlos Heinze,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1186.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1186,sen.luiscarlosheinze@senado.leg.br,PP,RS,346,Bloco Parlamentar Aliança,BLALIANÇA,"('2023-03-20',)",Não,Não
46,631,869,Magno Malta,Magno Pereira Malta,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador631.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/631,sen.magnomalta@senado.leg.br,PL,ES,338,Bloco Parlamentar Vanguarda,BLVANG,"('2023-02-06',)",Não,Sim
47,5376,847,Mara Gabrilli,Mara Cristina Gabrilli,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5376.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5376,sen.maragabrilli@senado.leg.br,PSD,SP,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Sim,Não
48,742,813,Marcelo Castro,Marcelo Costa e Castro,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador742.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/742,sen.marcelocastro@senado.leg.br,MDB,PI,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Sim
49,285,849,Marcio Bittar,Marcio Miguel Bittar,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador285.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/285,sen.marciobittar@senado.leg.br,UNIÃO,AC,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Não
50,5422,868,Marcos Rogério,Marcos Rogério da Silva Brito,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5422.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5422,sen.marcosrogerio@senado.leg.br,PL,RO,338,Bloco Parlamentar Vanguarda,BLVANG,"('2023-02-06',)",Não,Não
51,5942,862,Marcos do Val,Marcos Ribeiro do Val,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5942.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5942,sen.marcosdoval@senado.leg.br,PODEMOS,ES,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Não
52,6304,910,Margareth Buzetti,Margareth Gettert Busetti,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6304.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6304,sen.margarethbuzetti@senado.leg.br,PSD,MT,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Sim
53,6027,881,Mecias de Jesus,Antônio Mecias Pereira de Jesus,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6027.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6027,sen.meciasdejesus@senado.leg.br,REPUBLICANOS,RR,346,Bloco Parlamentar Aliança,BLALIANÇA,"('2023-03-20',)",Sim,Sim
54,5985,858,Nelsinho Trad,Nelson Trad Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5985.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5985,sen.nelsinhotrad@senado.leg.br,PSD,MS,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Não
55,5525,803,Omar Aziz,Omar José Abdel Aziz,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5525.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5525,sen.omaraziz@senado.leg.br,PSD,AM,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Sim
56,5924,857,Oriovisto Guimarães,Oriovisto Guimaraes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5924.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5924,sen.oriovistoguimaraes@senado.leg.br,PODEMOS,PR,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Sim
57,5523,831,Otto Alencar,Otto Roberto Mendonça de Alencar,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5523,sen.ottoalencar@senado.leg.br,PSD,BA,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Sim
58,825,859,Paulo Paim,Paulo Renato Paim,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/825,sen.paulopaim@senado.leg.br,PT,RS,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Não
59,5502,801,Plínio Valério,Francisco Plínio Valério Tomaz,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502,sen.pliniovalerio@senado.leg.br,PSDB,AM,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Não
60,5386,917,Professora Dorinha Seabra,Maria Auxiliadora Seabra Rezende,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5386.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5386,sen.professoradorinhaseabra@senado.leg.br,UNIÃO,TO,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Sim
61,5012,827,Randolfe Rodrigues,Randolph Frederich Rodrigues Alves,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012,sen.randolferodrigues@senado.leg.br,S/Partido,AP,N/I,N/I,N/I,N/I,Não,Sim
62,70,875,Renan Calheiros,José Renan Vasconcelos Calheiros,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/70,sen.renancalheiros@senado.leg.br,MDB,AL,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Sim
63,5905,874,Rodrigo Cunha,Rodrigo Santos Cunha,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5905.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5905,sen.rodrigocunha@senado.leg.br,PODEMOS,AL,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Sim,Não
64,5732,844,Rodrigo Pacheco,Rodrigo Otavio Soares Pacheco,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5732.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5732,sen.rodrigopacheco@senado.leg.br,PSD,MG,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Sim,Não
65,4694,887,Rogerio Marinho,Rogério Simonetti Marinho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4694.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4694,sen.rogeriomarinho@senado.leg.br,PL,RN,338,Bloco Parlamentar Vanguarda,BLVANG,"('2023-02-06',)",Não,Sim
66,5352,830,Rogério Carvalho,Rogério Carvalho Santos,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5352.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5352,sen.rogeriocarvalho@senado.leg.br,PT,SE,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Sim,Não
67,5322,840,Romário,Romario de Souza Faria,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5322.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5322,sen.romario@senado.leg.br,PL,RJ,338,Bloco Parlamentar Vanguarda,BLVANG,"('2023-02-06',)",Não,Não
68,6331,886,Sergio Moro,Sergio Fernando Moro,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6331.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6331,sen.sergiomoro@senado.leg.br,UNIÃO,PR,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Não
69,5988,854,Soraya Thronicke,Soraya Vieira Thronicke,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5988.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5988,sen.sorayathronicke@senado.leg.br,PODEMOS,MS,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Não
70,5959,817,Styvenson Valentim,Eann Styvenson Valentim Mendes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5959.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5959,sen.styvensonvalentim@senado.leg.br,PODEMOS,RN,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Sim,Sim
71,4560,850,Sérgio Petecão,Sérgio de Oliveira Cunha,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4560,sen.sergiopetecao@senado.leg.br,PSD,AC,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Não
72,6338,879,Teresa Leitão,Maria Teresa Leitão de Melo,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6338.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6338,sen.teresaleitao@senado.leg.br,PT,PE,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Sim
73,5736,876,Tereza Cristina,Tereza Cristina Correa da Costa Dias,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5736.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5736,sen.terezacristina@senado.leg.br,PP,MS,346,Bloco Parlamentar Aliança,BLALIANÇA,"('2023-03-20',)",Não,Sim
74,5899,864,Vanderlan Cardoso,Vanderlan Vieira Cardoso,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5899.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5899,sen.vanderlancardoso@senado.leg.br,PSD,GO,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Não
75,5748,821,Veneziano Vital do Rêgo,Veneziano Vital do Rêgo Segundo Neto,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5748.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5748,sen.venezianovitaldorego@senado.leg.br,MDB,PB,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Sim,Não
76,1173,842,Wellington Fagundes,Wellington Antonio Fagundes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1173.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1173,sen.wellingtonfagundes@senado.leg.br,PL,MT,338,Bloco Parlamentar Vanguarda,BLVANG,"('2023-02-06',)",Não,Sim
