ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoPublicoNaLegAtual;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeCompletoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.SexoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.FormaTratamento;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlFotoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParticular;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.EmailParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Telefones.Telefone.NumeroTelefone;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Telefones.Telefone.OrdemPublicacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Telefones.Telefone.IndicadorFax;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.SiglaPartidoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UfParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Bloco.CodigoBloco;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Bloco.NomeBloco;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Bloco.NomeApelido;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Bloco.DataCriacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.MembroMesa;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.MembroLideranca;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.CodigoMandato;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.UfParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.PrimeiraLegislaturaDoMandato.NumeroLegislatura;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.PrimeiraLegislaturaDoMandato.DataInicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.PrimeiraLegislaturaDoMandato.DataFim;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.SegundaLegislaturaDoMandato.NumeroLegislatura;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.SegundaLegislaturaDoMandato.DataInicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.SegundaLegislaturaDoMandato.DataFim;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.DescricaoParticipacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Titular.DescricaoParticipacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Titular.CodigoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Titular.NomeParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Suplentes.Suplente.DescricaoParticipacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Suplentes.Suplente.CodigoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Suplentes.Suplente.NomeParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.CodigoExercicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DataInicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DataFim;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.SiglaCausaAfastamento;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DescricaoCausaAfastamento;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DataLeitura
;;;;;;;;;;;;;;;;;;;;;602;MA;;;;;;;1º Suplente;;;;2º Suplente;6359;Lourdinha;;;;;;
;;;;;;;;;;;;;;;;;;;;;602;MA;;;;;;;1º Suplente;;;;;;;3038;2023-02-02;;;;
5967;832;Angelo Coronel;Angelo Mario Coronel de Azevedo Martins;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967;;sen.angelocoronel@senado.leg.br;33036103;1;Não;PSD;BA;;;;;Não;Não;;;;;;;;;;;;;;;;;;;;;
5967;832;Angelo Coronel;Angelo Mario Coronel de Azevedo Martins;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967;;sen.angelocoronel@senado.leg.br;33036105;3;Não;PSD;BA;;;;;Não;Não;;;;;;;;;;;;;;;;;;;;;
5967;832;Angelo Coronel;Angelo Mario Coronel de Azevedo Martins;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967;;sen.angelocoronel@senado.leg.br;;;;PSD;BA;335;Bloco Parlamentar da Resistência Democrática;BLPRD;2023-02-01;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;554;BA;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;554;BA;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;554;BA;;;;;;;Titular;;;;1º Suplente;5837;Davidson Magalhães;;;;;;
;;;;;;;;;;;;;;;;;;;;;554;BA;;;;;;;Titular;;;;2º Suplente;5056;Silvia Nascimento Cardoso dos Santos Cerqueira;;;;;;
;;;;;;;;;;;;;;;;;;;;;554;BA;;;;;;;Titular;;;;;;;2889;2019-02-01;;;;
6009;902;Astronauta Marcos Pontes;Marcos Cesar Pontes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009;;sen.astronautamarcospontes@senado.leg.br;33031177;1;Não;PL;SP;;;;;Não;Sim;;;;;;;;;;;;;;;;;;;;;
6009;902;Astronauta Marcos Pontes;Marcos Cesar Pontes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009;;sen.astronautamarcospontes@senado.leg.br;33031797;2;Não;PL;SP;;;;;Não;Sim;;;;;;;;;;;;;;;;;;;;;
6009;902;Astronauta Marcos Pontes;Marcos Cesar Pontes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009;;sen.astronautamarcospontes@senado.leg.br;;;;PL;SP;338;Bloco Parlamentar Vanguarda;BLVANG;2023-02-06;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;617;SP;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;617;SP;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;617;SP;;;;;;;Titular;;;;1º Suplente;6385;Professor Alberto;;;;;;
;;;;;;;;;;;;;;;;;;;;;617;SP;;;;;;;Titular;;;;2º Suplente;6386;Sirlange Manga;;;;;;
;;;;;;;;;;;;;;;;;;;;;617;SP;;;;;;;Titular;;;;;;;3017;2023-02-01;;;;
6350;930;Augusta Brito;Augusta Brito de Paula;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6350.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6350;;sen.augustabrito@senado.leg.br;33035940;1;Não;PT;CE;;;;;Não;Não;;;;;;;;;;;;;;;;;;;;;
6350;930;Augusta Brito;Augusta Brito de Paula;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6350.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6350;;sen.augustabrito@senado.leg.br;;;;PT;CE;335;Bloco Parlamentar da Resistência Democrática;BLPRD;2023-02-01;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;598;CE;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;598;CE;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;598;CE;;;;;;;1º Suplente;Titular;6336;Camilo Santana;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;598;CE;;;;;;;1º Suplente;;;;2º Suplente;6351;Janaina Farias;;;;;;
;;;;;;;;;;;;;;;;;;;;;598;CE;;;;;;;1º Suplente;;;;;;;3039;2023-02-02;;;;
4639;877;Beto Faro;José Roberto Oliveira Faro;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4639;;sen.betofaro@senado.leg.br;33035220;1;Não;PT;PA;;;;;Não;Não;;;;;;;;;;;;;;;;;;;;;
4639;877;Beto Faro;José Roberto Oliveira Faro;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4639;;sen.betofaro@senado.leg.br;;;;PT;PA;335;Bloco Parlamentar da Resistência Democrática;BLPRD;2023-02-01;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;604;PA;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;604;PA;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;604;PA;;;;;;;Titular;;;;1º Suplente;6364;Josenir;;;;;;
;;;;;;;;;;;;;;;;;;;;;604;PA;;;;;;;Titular;;;;2º Suplente;6365;Leny Campêlo;;;;;;
;;;;;;;;;;;;;;;;;;;;;604;PA;;;;;;;Titular;;;;;;;3020;2023-02-01;;;;
5936;949;Carlos Portinho;Carlos Francisco Portinho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936;https://carlosportinho.com.br/;sen.carlosportinho@senado.leg.br;33036640;1;Não;PL;RJ;;;;;Não;Sim;;;;;;;;;;;;;;;;;;;;;
5936;949;Carlos Portinho;Carlos Francisco Portinho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936;https://carlosportinho.com.br/;sen.carlosportinho@senado.leg.br;33036613;2;Não;PL;RJ;;;;;Não;Sim;;;;;;;;;;;;;;;;;;;;;
5936;949;Carlos Portinho;Carlos Francisco Portinho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936;https://carlosportinho.com.br/;sen.carlosportinho@senado.leg.br;;;;PL;RJ;338;Bloco Parlamentar Vanguarda;BLVANG;2023-02-06;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;545;RJ;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;545;RJ;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;545;RJ;;;;;;;1º Suplente;Titular;751;Arolde de Oliveira;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;545;RJ;;;;;;;1º Suplente;;;;2º Suplente;5934;Renata Guerra;;;;;;
;;;;;;;;;;;;;;;;;;;;;545;RJ;;;;;;;1º Suplente;;;;;;;2959;2020-11-03;;;;
5990;843;Carlos Viana;Carlos Alberto Dias Viana;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990;;sen.carlosviana@senado.leg.br;33033100;1;Não;PODEMOS;MG;;;;;Não;Não;;;;;;;;;;;;;;;;;;;;;
5990;843;Carlos Viana;Carlos Alberto Dias Viana;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990;;sen.carlosviana@senado.leg.br;;;;PODEMOS;MG;336;Bloco Parlamentar Democracia;BLDEM;2023-02-02;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;563;MG;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;563;MG;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;563;MG;;;;;;;Titular;;;;1º Suplente;5991;Castellar Guimarães Neto;;;;;;
;;;;;;;;;;;;;;;;;;;;;563;MG;;;;;;;Titular;;;;2º Suplente;5992;Danilo Martins de Oliveira;;;;;;
;;;;;;;;;;;;;;;;;;;;;563;MG;;;;;;;Titular;;;;;;;2892;2019-02-01;;;;
470;815;Chico Rodrigues;Francisco de Assis Rodrigues;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/470;;sen.chicorodrigues@senado.leg.br;33032281;1;Não;PSB;RR;;;;;Sim;Não;;;;;;;;;;;;;;;;;;;;;
470;815;Chico Rodrigues;Francisco de Assis Rodrigues;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/470;;sen.chicorodrigues@senado.leg.br;;;;PSB;RR;335;Bloco Parlamentar da Resistência Democrática;BLPRD;2023-02-01;Sim;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;577;RR;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;577;RR;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;577;RR;;;;;;;Titular;;;;1º Suplente;6023;Pedro Arthur;;;;;;
;;;;;;;;;;;;;;;;;;;;;577;RR;;;;;;;Titular;;;;2º Suplente;6024;Onésimo Cruz;;;;;;
;;;;;;;;;;;;;;;;;;;;;577;RR;;;;;;;Titular;;;;;;;2965;2021-02-18;;;;
;;;;;;;;;;;;;;;;;;;;;577;RR;;;;;;;Titular;;;;;;;2905;2019-02-01;2020-10-20;LP;Licença Particular;
5973;825;Cid Gomes;Cid Ferreira Gomes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973;https://cidgomes.com.br/;sen.cidgomes@senado.leg.br;33036460;1;Não;PDT;CE;;;;;Não;Sim;;;;;;;;;;;;;;;;;;;;;
5973;825;Cid Gomes;Cid Ferreira Gomes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973;https://cidgomes.com.br/;sen.cidgomes@senado.leg.br;33036399;2;Não;PDT;CE;;;;;Não;Sim;;;;;;;;;;;;;;;;;;;;;
5973;825;Cid Gomes;Cid Ferreira Gomes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973;https://cidgomes.com.br/;sen.cidgomes@senado.leg.br;;;;PDT;CE;336;Bloco Parlamentar Democracia;BLDEM;2023-02-02;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;556;CE;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;556;CE;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;556;CE;;;;;;;Titular;;;;1º Suplente;5971;Prisco Bezerra;;;;;;
;;;;;;;;;;;;;;;;;;;;;556;CE;;;;;;;Titular;;;;2º Suplente;5972;Julio Ventura;;;;;;
;;;;;;;;;;;;;;;;;;;;;556;CE;;;;;;;Titular;;;;;;;3006;2023-01-04;;;;
;;;;;;;;;;;;;;;;;;;;;556;CE;;;;;;;Titular;;;;;;;2953;2020-04-11;2022-09-05;LCS;Licença com convocação de suplente (sup 120 dias);
;;;;;;;;;;;;;;;;;;;;;556;CE;;;;;;;Titular;;;;;;;2895;2019-02-01;2019-12-11;LP;Licença Particular;
739;811;Ciro Nogueira;Ciro Nogueira Lima Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/739;http://senadorciro.com.br/;ciro.nogueira@senado.leg.br;33036187;1;Não;PP;PI;;;;;Não;Sim;;;;;;;;;;;;;;;;;;;;;
739;811;Ciro Nogueira;Ciro Nogueira Lima Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/739;http://senadorciro.com.br/;ciro.nogueira@senado.leg.br;33036188;2;Não;PP;PI;;;;;Não;Sim;;;;;;;;;;;;;;;;;;;;;
739;811;Ciro Nogueira;Ciro Nogueira Lima Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/739;http://senadorciro.com.br/;ciro.nogueira@senado.leg.br;33036183;3;Não;PP;PI;;;;;Não;Sim;;;;;;;;;;;;;;;;;;;;;
